,scenario,specie,mean_max_forcing,max_forcing_std,min_year,max_year,year_range,cv_at_maxforcing_year,cv_300,cv_350,cv_400
144,low,C5F12,6.362072125923778e-05,7.142340434467492e-06,2038,2038,0,0.11785841547654,0.039848109448653087,0.09545138800705495,0.12249097962514396
145,low,C6F14,0.00012556524670493074,1.4096503795519178e-05,2087,2087,0,0.31595946683673876,0.09005080830315425,0.2017918964766011,0.2611387340009633
146,low,C7F16,4.893109909896402e-05,5.493219200917529e-06,2030,2030,0,0.44953104319760656,0.2544110960377605,0.7882087664510135,1.066714917198279
147,low,C8F18,3.703116396669831e-05,4.157280434734793e-06,2030,2030,0,0.2780616677227604,0.14558844956085096,0.4063698505429585,0.5402007576886776
148,low,CCl4,0.017904368121827496,0.0020100226759304667,1991,1991,0,0.0,8.361275844713372e-17,7.027681288938032e-17,6.830162751375058e-17
149,low,CF4,0.006593764654688233,0.0007402448601084386,2245,2245,0,0.22149659220067608,0.049562323778115806,0.11808195457841016,0.16670533041475744
150,low,CFC-11,0.07885625706597478,0.008852748321700219,1994,1994,0,0.0,9.25497141466881e-17,9.514909232300908e-17,9.003127785598934e-17
151,low,CFC-113,0.02542826226607193,0.002854687940760159,1996,1996,0,0.0,7.489958762641313e-17,8.047095686109686e-17,9.081095029996396e-17
152,low,CFC-114,0.005225246567944705,0.0005866090340318961,2005,2005,0,0.0,7.496915853342023e-17,7.028025697949665e-17,8.951681280479672e-17
153,low,CFC-115,0.002522677598047526,0.0002832068209073311,2087,2087,0,0.0,7.626965056397058e-17,7.366810068136733e-17,7.602297646723512e-17
154,low,CFC-12,0.19591690335265904,0.021994488476632556,2003,2003,0,0.0,7.111493423671845e-17,8.665173873332048e-17,7.423731841999466e-17
155,low,CH2Cl2,0.0009468635545453386,0.00010629904404881014,2023,2023,0,0.19710640140174077,0.7358690483752609,0.7795026473492691,0.9129781845889717
156,low,CH3Br,1.6195778795293137e-05,1.8182089650628927e-06,1998,1998,0,0.0,1.942122969646081,4.48420183067106,0.07084737467088392
157,low,CH3CCl3,0.009207357679163357,0.001033658244434702,1992,1992,0,0.0,8.949141715837093e-17,8.930998022143588e-17,9.346945416870246e-17
158,low,CH3Cl,0.00046847974481736485,5.259358520164891e-05,1999,1999,0,0.0,0.8838143636317678,1.166592693078135,0.11415243430808268
159,low,CHCl3,0.000412422742906246,4.6300380983586585e-05,1990,1990,0,0.0,0.9773574613420122,0.5240720919633217,2.3947187742773024
160,low,CO,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
161,low,CO2,2.78442842723614,0.22962818296777085,2050,2069,19,0.5133160143795251,0.09269289179362543,0.37223260233104977,0.5860924119754728
162,low,CO2 AFOLU,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
163,low,CO2 FFI,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
164,low,Equivalent effective stratospheric chlorine,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
165,low,HCFC-141b,0.003960414293553439,0.00044461343075362413,2023,2023,0,0.0,6.259721932700995e-17,9.386523185318607e-17,6.914206209053439e-17
166,low,HCFC-142b,0.004350930962721088,0.0004884545400859814,2017,2017,0,0.0,6.467329763901065e-17,8.19503257870109e-17,9.051626319984419e-17
167,low,HCFC-22,0.05401602758380894,0.006064075513213891,2024,2024,0,0.0,8.814685390910067e-17,8.858616703404291e-17,6.957482669128096e-17
168,low,HFC-125,0.019781203594990616,0.0022207244350977992,2037,2037,0,0.701342858309501,0.4812894437537826,0.7570913335577472,0.822737699635674
169,low,HFC-134a,0.02138443016558809,0.002400709662145633,2029,2029,0,0.2188127537964515,0.48269085162938646,0.8066311723437566,0.848042099665849
170,low,HFC-143a,0.01001830929826133,0.001124699220155161,2039,2039,0,0.7570136036401898,0.4250845901379287,0.7140476589775011,0.7949197236180555
171,low,HFC-152a,0.000880633058644607,9.88637188983909e-05,2011,2011,0,0.0,0.7723192159693928,0.8217238819231002,0.8295889002130735
172,low,HFC-227ea,0.0007269944871039804,8.161558086900455e-05,2036,2036,0,0.34346022965291256,0.3622088182755909,0.6787329096257527,0.7920285237691725
173,low,HFC-23,0.006234803943909879,0.0006999463606851045,2023,2023,0,0.0,0.0073813037649500465,0.009806724442157357,0.009806724442157412
174,low,HFC-236fa,0.00012360413370026132,1.3876340672049778e-05,2141,2141,0,0.7958527909367198,0.34424984183827156,0.631912725270764,0.7184932126248261
175,low,HFC-245fa,0.0012776192789341627,0.00014343112833637816,2032,2032,0,0.616889311839562,0.6767069242497908,0.8069562321506037,0.8294445163532528
176,low,HFC-32,0.002596341324326749,0.0002914766330116892,2017,2017,0,0.0,0.5141339334814887,0.824317827065665,0.8243178270656648
177,low,HFC-365mfc,0.0002902299398240546,3.258248245963454e-05,2027,2027,0,0.26492005681644837,0.6099900870643119,0.8053150556985641,0.8293878787607202
178,low,HFC-4310mee,0.00011023557818009772,1.2375528157632962e-05,2025,2025,0,0.006832533672888721,0.3392465735370145,0.7645951781795033,0.8472194636982591
179,low,Halon-1211,0.0013239894089321475,0.00014863684194478888,2006,2006,0,0.0,8.516447019354022e-17,7.413181186402018e-17,6.838705000256174e-17
180,low,Halon-1301,0.0010685890352025084,0.00011996447891334279,2039,2039,0,0.0,6.923426459933391e-17,8.860587558617324e-17,7.95439817128015e-17
181,low,Halon-2402,0.00015190793174458877,1.705384883636737e-05,2005,2005,0,0.0,6.949198218419309e-17,9.09577650690916e-17,8.13140977266425e-17
182,low,Land use,1.9466093213641866e-05,0.0005645167031956143,1750,2080,330,0.10629307554510256,0.014771647243459512,0.11198995329643693,0.17906510360413289
183,low,Light absorbing particles on snow and ice,0.09157668775205285,0.05702667875005832,2011,2251,240,9.885114119267157e-05,0.5388643793069666,1.1044266727615155,1.7706645434182646
184,low,NF3,0.0011385106653179463,0.0001278141869350804,2144,2144,0,0.6431123159734278,0.13418044948839103,0.354479939880612,0.5239097685192138
185,low,NH3,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
186,low,NOx,0.0,0.0,1750,1750,0,0.0,0.0,0.0,0.0
187,low,Neg_allCH4,9.811977388775332e-05,9.435730651225825e-06,1753,1753,0,0.0,0.1604187332088756,0.5632069698281134,0.6863548753826292
188,low,Neg_ariNH3,0.03713099671461719,0.0025058372919845562,2021,2021,0,0.14361581668336926,0.09076416382435866,0.17142506563052437,0.16949831329045878
189,low,Neg_o3CO,0.02493582365385141,0.029255935474843214,1997,2250,253,0.11797399187993164,0.12500572772779733,0.34932982084056635,0.5396324211216271
