,scenario,specie,max_forcing
349,ssp460,HFC-152a,0.0011769457215815198
350,ssp460,HFC-227ea,0.0021493916227278294
351,ssp460,HFC-23,0.0074281472747847474
352,ssp460,HFC-236fa,0.0005581822589989009
353,ssp460,HFC-245fa,0.004948339877985353
354,ssp460,HFC-32,0.002171604198635173
355,ssp460,HFC-365mfc,0.0006883031409746007
356,ssp460,HFC-4310mee,0.00017963921830221319
357,ssp460,Solar,0.24319049655819902
358,ssp460,Volcanic,0.28137727172489746
359,ssp460,Aerosol-radiation interactions,0.37761699384081765
360,ssp460,Aerosol-cloud interactions,0.6192856593083658
361,ssp460,Ozone,1.16820801099078
362,ssp460,Light absorbing particles on snow and ice,0.3690022947800416
363,ssp460,Stratospheric water vapour,0.3467382889950832
364,ssp460,Land use,0.012055871972583414
365,ssp460,Equivalent effective stratospheric chlorine,0.0
366,ssp534-over,CO2 FFI,0.0
367,ssp534-over,CO2 AFOLU,0.0
368,ssp534-over,CO2,4.340147409363554
369,ssp534-over,CH4,0.9816113261846104
370,ssp534-over,N2O,0.5176330972315247
371,ssp534-over,Sulfur,0.0
372,ssp534-over,BC,0.0
373,ssp534-over,OC,0.0
374,ssp534-over,NH3,0.0
375,ssp534-over,NOx,0.0
376,ssp534-over,VOC,0.0
377,ssp534-over,CO,0.0
378,ssp534-over,CFC-11,0.10874641590356278
379,ssp534-over,CFC-12,0.2667876578096605
380,ssp534-over,CFC-113,0.034610525372512996
381,ssp534-over,CFC-114,0.0071433466771702045
382,ssp534-over,CFC-115,0.003092184408349858
383,ssp534-over,HCFC-22,0.07468032395230677
384,ssp534-over,HCFC-141b,0.006196395387024639
385,ssp534-over,HCFC-142b,0.005976800540897741
386,ssp534-over,CCl4,0.027362415413199233
387,ssp534-over,CHCl3,0.0011155847715662035
388,ssp534-over,CH2Cl2,0.0022629587276764796
389,ssp534-over,CH3Cl,0.0007933504856376709
390,ssp534-over,CH3CCl3,0.0117961696874994
391,ssp534-over,CH3Br,2.2428623797858934e-05
392,ssp534-over,Halon-1211,0.001787227331595694
393,ssp534-over,Halon-1301,0.001363176235044961
394,ssp534-over,Halon-2402,0.0002093076918959394
395,ssp534-over,CF4,0.010483766967262673
396,ssp534-over,C2F6,0.0023372599440777448
397,ssp534-over,C3F8,0.0003804052759838349
398,ssp534-over,c-C4F8,0.0011935017175477504
399,ssp534-over,C4F10,0.00012762940718623005
400,ssp534-over,C5F12,8.515898879835347e-05
401,ssp534-over,C6F14,0.0002860507089622926
402,ssp534-over,C7F16,0.00016236227686920328
403,ssp534-over,C8F18,0.00010096219896353524
404,ssp534-over,NF3,0.001745930292380659
405,ssp534-over,SF6,0.01984193522674662
406,ssp534-over,SO2F2,0.0010748889128422204
407,ssp534-over,HFC-125,0.10709498262976608
408,ssp534-over,HFC-134a,0.05172875265387944
409,ssp534-over,HFC-143a,0.05100114386373978
410,ssp534-over,HFC-152a,0.0012365170830277035
411,ssp534-over,HFC-227ea,0.0022232955964269587
412,ssp534-over,HFC-23,0.0075312393066519065
413,ssp534-over,HFC-236fa,0.0004400545540164774
414,ssp534-over,HFC-245fa,0.005227707451959638
415,ssp534-over,HFC-32,0.002194668480248227
416,ssp534-over,HFC-365mfc,0.0007689398065592645
417,ssp534-over,HFC-4310mee,0.0002002677344186559
418,ssp534-over,Solar,0.24319049655819902
419,ssp534-over,Volcanic,0.28137727172489746
420,ssp534-over,Aerosol-radiation interactions,0.3690762266221597
421,ssp534-over,Aerosol-cloud interactions,0.5681352953576475
422,ssp534-over,Ozone,1.1063648288157888
423,ssp534-over,Light absorbing particles on snow and ice,0.3502329278723625
424,ssp534-over,Stratospheric water vapour,0.22648847549735499
425,ssp534-over,Land use,0.014375647255262419
426,ssp534-over,Equivalent effective stratospheric chlorine,0.0
427,ssp585,CO2 FFI,0.0
428,ssp585,CO2 AFOLU,0.0
429,ssp585,CO2,14.73777389281358
430,ssp585,CH4,1.1437787951169511
431,ssp585,N2O,0.5346514196149293
432,ssp585,Sulfur,0.0
433,ssp585,BC,0.0
434,ssp585,OC,0.0
435,ssp585,NH3,0.0
436,ssp585,NOx,0.0
437,ssp585,VOC,0.0
438,ssp585,CO,0.0
439,ssp585,CFC-11,0.10874641590356278
440,ssp585,CFC-12,0.2667876578096605
441,ssp585,CFC-113,0.034610525372512996
442,ssp585,CFC-114,0.0071433466771702045
443,ssp585,CFC-115,0.003092184408349858
444,ssp585,HCFC-22,0.07468032395230677
445,ssp585,HCFC-141b,0.006196395387024639
446,ssp585,HCFC-142b,0.005976800540897741
447,ssp585,CCl4,0.027362415413199233
448,ssp585,CHCl3,0.0011155847715662035
449,ssp585,CH2Cl2,0.004182605807671814
450,ssp585,CH3Cl,0.0007933504856376709
451,ssp585,CH3CCl3,0.0117961696874994
452,ssp585,CH3Br,2.2428623797858934e-05
453,ssp585,Halon-1211,0.001787227331595694
454,ssp585,Halon-1301,0.001363176235044961
455,ssp585,Halon-2402,0.0002093076918959394
456,ssp585,CF4,0.016930984947290405
457,ssp585,C2F6,0.002756596694480085
458,ssp585,C3F8,0.00045542711235005217
459,ssp585,c-C4F8,0.002199117191732225
460,ssp585,C4F10,0.00014370187588322268
461,ssp585,C5F12,9.151292252664882e-05
462,ssp585,C6F14,0.0003424210818255002
463,ssp585,C7F16,0.00019988986711429294
464,ssp585,C8F18,0.0001155101459914378
465,ssp585,NF3,0.0055709343335239095
466,ssp585,SF6,0.05673452605167705
467,ssp585,SO2F2,0.0010938074271156569
468,ssp585,HFC-125,0.34218460910761433
469,ssp585,HFC-134a,0.10701361255320838
470,ssp585,HFC-143a,0.20228917473376928
471,ssp585,HFC-152a,0.0012365170830277035
472,ssp585,HFC-227ea,0.004377506743472543
473,ssp585,HFC-23,0.0075312393066519065
474,ssp585,HFC-236fa,0.0030226485005240204
475,ssp585,HFC-245fa,0.014656890036782867
476,ssp585,HFC-32,0.002194668480248227
477,ssp585,HFC-365mfc,0.0015083307835833135
478,ssp585,HFC-4310mee,0.00022293544330400899
479,ssp585,Solar,0.24319049655819902
480,ssp585,Volcanic,0.28137727172489746
481,ssp585,Aerosol-radiation interactions,0.3690762266221597
482,ssp585,Aerosol-cloud interactions,0.3824082069362902
483,ssp585,Ozone,1.176849597387626
484,ssp585,Light absorbing particles on snow and ice,0.3502329278723625
485,ssp585,Stratospheric water vapour,0.26947677328675734
486,ssp585,Land use,0.012980723892482537
487,ssp585,Equivalent effective stratospheric chlorine,0.0
